stone; 920, 950; 200, 50
stone; 0, 0; 80, 1080;
stone; 1840, 0; 80, 1080;
stone; 600, 0950; 100, 50;
stone; 80, 650; 160, 300;
stone; 80, 950; 80, 80;
stone; 160, 950; 40, 40;
stone; 160, 500; 400, 70;
stone; 240, 800; 50, 50;
stone; 290, 750; 160, 50;
trap; 240, 750; 50, 50;
stone; 800, 500; 200, 50;
trap; 80, 1030; 1240, 50
stone; 1320, 500; 50, 580;
stone; 1320, 300; 50, 200;
stone; 1200, 650; 120, 200;
stone;1260, 850; 60, 75;
stone;1200, 400; 120, 250;
grass; 1370, 650;470,50;
goal; 1700, 590; 0, 0;
dirt; 1370, 700; 470, 380;
